arm,class,links_up,node_minutes,leg_drops,peer_link_losses,leg_drops_per_node_minute,peer_losses_per_node_minute,peer_losses_per_link_minute
hold,nexus,2,11.54,19,13,1.6469,1.1269,0.56343
hold,nexus,3,46.54,82,55,1.7619,1.1818,0.39392
hold,nexus,4,116.97,249,159,2.1288,1.3593,0.33984
hold,nexus,5,162.44,301,208,1.853,1.2805,0.2561
hold,nexus,6,73.66,146,106,1.9821,1.4391,0.23984
hold,nexus,7,19.15,34,30,1.7753,1.5665,0.22378
hold,modern,1,10.7,10,7,0.9347,0.6543,0.65429
hold,modern,2,49.22,63,40,1.28,0.8127,0.40635
hold,modern,3,88.51,202,122,2.2822,1.3784,0.45946
hold,modern,4,88.34,212,128,2.3997,1.4489,0.36223
hold,modern,5,73.48,264,162,3.5926,2.2046,0.44091
hold,modern,6,71.12,344,208,4.8367,2.9245,0.48742
hold,modern,7,56.83,236,145,4.1529,2.5516,0.36451
moderate,nexus,2,6.19,19,14,3.0673,2.2601,1.13007
moderate,nexus,3,9.02,83,56,9.2051,6.2107,2.07022
moderate,nexus,4,20.06,162,104,8.0764,5.1849,1.29622
moderate,nexus,5,25.68,222,133,8.6456,5.1795,1.03591
moderate,nexus,6,20.94,176,99,8.4047,4.7276,0.78794
moderate,nexus,7,6.08,59,33,9.6991,5.4249,0.77499
moderate,modern,3,7.7,59,36,7.6661,4.6776,1.55921
moderate,modern,4,9.36,102,65,10.8938,6.9421,1.73553
moderate,modern,5,21.44,160,90,7.4643,4.1986,0.83973
moderate,modern,6,28.79,234,138,8.1268,4.7927,0.79879
moderate,modern,7,18.11,166,100,9.1666,5.522,0.78886
sat,nexus,2,5.3,14,8,2.6436,1.5106,0.7553
sat,nexus,3,15.76,58,41,3.6802,2.6015,0.86718
sat,nexus,4,30.79,128,87,4.1568,2.8253,0.70633
sat,nexus,5,21.57,130,81,6.0278,3.7558,0.75116
sat,nexus,6,11.15,71,50,6.3675,4.4842,0.74736
sat,nexus,7,4.91,29,19,5.9054,3.869,0.55272
sat,modern,2,5.08,14,12,2.7562,2.3625,1.18123
sat,modern,3,8.95,69,50,7.7053,5.5836,1.86119
sat,modern,4,12.48,83,61,6.6505,4.8877,1.22192
sat,modern,5,19.7,133,87,6.7529,4.4173,0.88346
sat,modern,6,24.26,189,113,7.7922,4.6588,0.77647
sat,modern,7,18.69,147,88,7.8657,4.7087,0.67267
